order,node_index,node_name,mesh_index,mesh_name,inference_mode,group_id,group_size,predicted_label,predicted_class,confidence,second_label,second_class,second_confidence,vertex_count,face_count,surface_area,mesh_volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_size_x,bbox_size_y,bbox_size_z,bbox_diagonal,bbox_volume,obb_size_long,obb_size_mid,obb_size_short,elongation,flatness,compactness,shape_hint,centroid_x,centroid_y,centroid_z,pointclip_top1_id,pointclip_top2_score,pointclip_top1_name,pointclip_top1_role,pointclip_top2_id,pointclip_top1_score,pointclip_margin,pointclip_topk_json,pointclip_top2_name,pointclip_top2_role,pointclip_matched,size_class,detail_class,confidence_class,confidence_margin,semantic_group,geometry_fallback_class,small_low_conf_refined,inferred_role,function_role,semantic_structural_score,neural_role,neural_role_score,pointclip_role,pointclip_role_score,structural_match_role,structural_match_score,protected_features,inference_reason,structural_features,lod_priority,lod_strategy,target_ratio_near,target_ratio_mid,target_ratio_far,allow_cull,screen_error_weight
1,0,Mesh.376,0,Mesh_376.004,mesh,mesh_1,1,3,pins_rivets_keys,0.7673397660255432,2,washers_rings_spacers,0.041106730699539185,1437,1096,0.5005413293838501,,0.019999980926513672,1.4600000381469727,-0.3475000262260437,1.2000000476837158,1.5000001192092896,-0.3075000047683716,1.1800000667572021,0.040000081062316895,0.04000002145767212,1.1813552242016825,0.0018880049457573312,1.1800000667572021,0.040000081062316895,0.04000002145767212,29.499941885589116,0.03389832135145342,0.0011451479740695683,flat_plate,0.6999293565750122,1.4801338911056519,-0.3275148272514343,joint_clamp_hinge,0.15005983412265778,joint clamp or hinge,structural_control,pin_rivet_key,0.15726135671138763,0.007201522588729858,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.15726135671138763}, {""rank"": 2, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.15005983412265778}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.13663102686405182}, {""rank"": 4, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.08032124489545822}, {""rank"": 5, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.07907597720623016}]",pin rivet or key,repeated_fastener,1,S5_xlarge,D1_low,C2_high,0.726233035326004,fastener_repeated,geom_thin_plate,False,repeated_fastener,fastening_or_repeated_standard_part,0.6764,repeated_fastener,0.5371,structural_control,0.5619,ordinary_low_detail,0.9241,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",pointnext_prior=repeated_fastener:0.54;structural_match=ordinary_low_detail:0.92;pointclip_open_vocab=structural_control:0.56;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.8333, ""medium_size_score"": 0.3333, ""detail_score"": 0.25, ""high_detail_score"": 0.2238, ""density_score"": 0.2238, ""slender_score"": 1.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.45, ""simple_score"": 0.7875, ""uncertainty_score"": 0.0}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
2,1,Mesh.377,1,Mesh_377.004,mesh,mesh_2,1,3,pins_rivets_keys,0.7826501727104187,2,washers_rings_spacers,0.031218353658914566,1490,1096,0.5005419254302979,,0.019999980926513672,1.4600000381469727,-0.7000000476837158,1.2000000476837158,1.5000001192092896,-0.6600000262260437,1.1800000667572021,0.040000081062316895,0.04000002145767212,1.1813552242016825,0.0018880049457573312,1.1800000667572021,0.040000081062316895,0.04000002145767212,29.499941885589116,0.03389832135145342,0.0011451479740695683,flat_plate,0.7272188663482666,1.479846477508545,-0.6802195906639099,joint_clamp_hinge,0.14735519886016846,joint clamp or hinge,structural_control,pin_rivet_key,0.15685878694057465,0.009503588080406189,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.15685878694057465}, {""rank"": 2, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.14735519886016846}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.13416844606399536}, {""rank"": 4, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.08011563867330551}, {""rank"": 5, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.08011563867330551}]",pin rivet or key,repeated_fastener,1,S5_xlarge,D1_low,C2_high,0.7514318190515041,fastener_repeated,geom_thin_plate,False,repeated_fastener,fastening_or_repeated_standard_part,0.6836,repeated_fastener,0.5479,structural_control,0.5704,ordinary_low_detail,0.9241,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",pointnext_prior=repeated_fastener:0.55;structural_match=ordinary_low_detail:0.92;pointclip_open_vocab=structural_control:0.57;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.8333, ""medium_size_score"": 0.3333, ""detail_score"": 0.25, ""high_detail_score"": 0.2238, ""density_score"": 0.2238, ""slender_score"": 1.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.45, ""simple_score"": 0.7875, ""uncertainty_score"": 0.0}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
3,2,Mesh.378,2,Mesh_378.004,mesh,mesh_3,1,3,pins_rivets_keys,0.6245372295379639,2,washers_rings_spacers,0.06871584057807922,1452,1096,0.5005416870117188,,0.019999980926513672,1.4600000381469727,-1.0099999904632568,1.2000000476837158,1.5000001192092896,-0.9700000286102295,1.1800000667572021,0.040000081062316895,0.039999961853027344,1.1813552221835044,0.0018880021324122372,1.1800000667572021,0.040000081062316895,0.039999961853027344,29.499941885589116,0.033898270839045445,0.001145146273535989,flat_plate,0.7099712491035461,1.4799875020980835,-0.9902069568634033,joint_clamp_hinge,0.14746171236038208,joint clamp or hinge,structural_control,pin_rivet_key,0.15944412350654602,0.01198241114616394,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.15944412350654602}, {""rank"": 2, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.14746171236038208}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.13426542282104492}, {""rank"": 4, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.0801735445857048}, {""rank"": 5, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.07893056422472}]",pin rivet or key,repeated_fastener,1,S5_xlarge,D1_low,C1_medium,0.5558213889598846,fastener_repeated,geom_thin_plate,False,repeated_fastener,fastening_or_repeated_standard_part,0.606,repeated_fastener,0.4372,structural_control,0.5849,ordinary_low_detail,0.9241,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",pointnext_prior=repeated_fastener:0.44;structural_match=ordinary_low_detail:0.92;pointclip_open_vocab=structural_control:0.58;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.8333, ""medium_size_score"": 0.3333, ""detail_score"": 0.25, ""high_detail_score"": 0.2238, ""density_score"": 0.2238, ""slender_score"": 1.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.45, ""simple_score"": 0.7875, ""uncertainty_score"": 0.0}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
4,3,Mesh.379,3,Mesh_379.004,mesh,mesh_4,1,3,pins_rivets_keys,0.788189709186554,2,washers_rings_spacers,0.026630138978362083,1485,1096,0.4582518935203552,,0.12000000476837158,1.4600000381469727,-2.0,1.2000000476837158,1.5000001192092896,-1.9600000381469727,1.0800000429153442,0.040000081062316895,0.039999961853027344,1.0814805112115433,0.001728001922604156,1.0800000429153442,0.040000081062316895,0.039999961853027344,26.999946355928415,0.0370370002440479,0.001366117731794992,flat_plate,0.7229102253913879,1.4798616170883179,-1.980056643486023,joint_clamp_hinge,0.14350682497024536,joint clamp or hinge,structural_control,pin_rivet_key,0.16009344160556793,0.01658661663532257,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.16009344160556793}, {""rank"": 2, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.14350682497024536}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.13693517446517944}, {""rank"": 4, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.0817677304148674}, {""rank"": 5, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.0805000364780426}]",pin rivet or key,repeated_fastener,1,S5_xlarge,D1_low,C2_high,0.7615595702081919,fastener_repeated,geom_thin_plate,False,repeated_fastener,fastening_or_repeated_standard_part,0.6843,repeated_fastener,0.5517,structural_control,0.6045,ordinary_low_detail,0.9241,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",pointnext_prior=repeated_fastener:0.55;structural_match=ordinary_low_detail:0.92;pointclip_open_vocab=structural_control:0.60;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.8333, ""medium_size_score"": 0.3333, ""detail_score"": 0.25, ""high_detail_score"": 0.2429, ""density_score"": 0.2429, ""slender_score"": 1.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.45, ""simple_score"": 0.7875, ""uncertainty_score"": 0.0}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
5,4,Mesh.380,4,Mesh_380.004,mesh,mesh_5,1,3,pins_rivets_keys,0.751797616481781,2,washers_rings_spacers,0.0427461713552475,1509,1096,0.45825231075286865,,0.12000000476837158,0.6740000247955322,-2.0,1.2000000476837158,0.7140000462532043,-1.9600000381469727,1.0800000429153442,0.04000002145767212,0.039999961853027344,1.081480509006983,0.001727999347685855,1.0800000429153442,0.04000002145767212,0.039999961853027344,26.99998658896212,0.0370370002440479,0.0013661157044794021,flat_plate,0.7398013472557068,0.6936259269714355,-1.9800770282745361,joint_clamp_hinge,0.14850851893424988,joint clamp or hinge,structural_control,pin_rivet_key,0.15808649361133575,0.009577974677085876,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.15808649361133575}, {""rank"": 2, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.14850851893424988}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.14170780777931213}, {""rank"": 4, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.07704520225524902}, {""rank"": 5, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.0758507251739502}]",pin rivet or key,repeated_fastener,1,S5_xlarge,D1_low,C2_high,0.7090514451265335,fastener_repeated,geom_thin_plate,False,repeated_fastener,fastening_or_repeated_standard_part,0.6677,repeated_fastener,0.5263,structural_control,0.5729,ordinary_low_detail,0.9241,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",pointnext_prior=repeated_fastener:0.53;structural_match=ordinary_low_detail:0.92;pointclip_open_vocab=structural_control:0.57;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.8333, ""medium_size_score"": 0.3333, ""detail_score"": 0.25, ""high_detail_score"": 0.2429, ""density_score"": 0.2429, ""slender_score"": 1.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.45, ""simple_score"": 0.7875, ""uncertainty_score"": 0.0}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
6,5,Mesh.381,5,Mesh_381.004,mesh,mesh_6,1,3,pins_rivets_keys,0.7926536798477173,2,washers_rings_spacers,0.023222297430038452,1561,1096,0.3483004570007324,,0.12000000476837158,0.32200002670288086,-1.9200000762939453,0.940000057220459,0.3620000183582306,-1.880000114440918,0.8200000524520874,0.03999999165534973,0.039999961853027344,0.8219489535865946,0.0013119985589982715,0.8200000524520874,0.03999999165534973,0.039999961853027344,20.500005587936613,0.04878043816389212,0.002362646881551463,flat_plate,0.5990768074989319,0.3418775498867035,-1.899954080581665,joint_clamp_hinge,0.14199988543987274,joint clamp or hinge,structural_control,handle_lever_knob,0.15841232240200043,0.016412436962127686,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.15841232240200043}, {""rank"": 2, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.14199988543987274}, {""rank"": 3, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.13132843375205994}, {""rank"": 4, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.08479201048612595}, {""rank"": 5, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.08479201048612595}]",handle lever or knob,structural_control,1,S5_xlarge,D1_low,C2_high,0.7694313824176788,fastener_repeated,geom_thin_plate,False,repeated_fastener,fastening_or_repeated_standard_part,0.6692,repeated_fastener,0.5549,structural_control,0.6008,ordinary_low_detail,0.9241,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",pointnext_prior=repeated_fastener:0.55;structural_match=ordinary_low_detail:0.92;pointclip_open_vocab=structural_control:0.60;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.8333, ""medium_size_score"": 0.3333, ""detail_score"": 0.25, ""high_detail_score"": 0.3025, ""density_score"": 0.3025, ""slender_score"": 1.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.45, ""simple_score"": 0.7875, ""uncertainty_score"": 0.0}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
7,6,Mesh.382,6,Mesh_382.004,mesh,mesh_7,1,3,pins_rivets_keys,0.7987051606178284,2,washers_rings_spacers,0.020529422909021378,1629,1096,0.34830009937286377,,0.12000000476837158,-0.020000001415610313,-1.6750000715255737,0.940000057220459,0.020000001415610313,-1.6350001096725464,0.8200000524520874,0.04000000283122063,0.039999961853027344,0.8219489541304663,0.0013119989255665106,0.8200000524520874,0.04000000283122063,0.039999961853027344,20.499999860301624,0.04878043816389212,0.0023626475369775243,flat_plate,0.601730465888977,1.3820818821841385e-05,-1.655038833618164,joint_clamp_hinge,0.1438847780227661,joint clamp or hinge,structural_control,handle_lever_knob,0.15802651643753052,0.014141738414764404,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.15802651643753052}, {""rank"": 2, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.1438847780227661}, {""rank"": 3, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.13516724109649658}, {""rank"": 4, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.08198307454586029}, {""rank"": 5, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.08198307454586029}]",handle lever or knob,structural_control,1,S5_xlarge,D1_low,C2_high,0.778175737708807,fastener_repeated,geom_thin_plate,False,repeated_fastener,fastening_or_repeated_standard_part,0.6732,repeated_fastener,0.5591,structural_control,0.591,ordinary_low_detail,0.9241,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",pointnext_prior=repeated_fastener:0.56;structural_match=ordinary_low_detail:0.92;pointclip_open_vocab=structural_control:0.59;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.8333, ""medium_size_score"": 0.3333, ""detail_score"": 0.25, ""high_detail_score"": 0.3025, ""density_score"": 0.3025, ""slender_score"": 1.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.45, ""simple_score"": 0.7875, ""uncertainty_score"": 0.0}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
8,7,Mesh.383,7,Mesh_383.004,mesh,mesh_8,1,3,pins_rivets_keys,0.7484470009803772,2,washers_rings_spacers,0.053428906947374344,1434,1096,0.5005410313606262,,0.019999980926513672,1.0,-0.3475000262260437,1.2000000476837158,1.040000081062317,-0.3075000047683716,1.1800000667572021,0.040000081062316895,0.04000002145767212,1.1813552242016825,0.0018880049457573312,1.1800000667572021,0.040000081062316895,0.04000002145767212,29.499941885589116,0.03389832135145342,0.0011451479740695683,flat_plate,0.6997060775756836,1.0200860500335693,-0.32756221294403076,joint_clamp_hinge,0.14871427416801453,joint clamp or hinge,structural_control,pin_rivet_key,0.15830551087856293,0.009591236710548401,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.15830551087856293}, {""rank"": 2, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.14871427416801453}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.13540588319301605}, {""rank"": 4, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.08085455000400543}, {""rank"": 5, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.07960101217031479}]",pin rivet or key,repeated_fastener,1,S5_xlarge,D1_low,C2_high,0.6950180940330029,fastener_repeated,geom_thin_plate,False,repeated_fastener,fastening_or_repeated_standard_part,0.666,repeated_fastener,0.5239,structural_control,0.5733,ordinary_low_detail,0.9241,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",pointnext_prior=repeated_fastener:0.52;structural_match=ordinary_low_detail:0.92;pointclip_open_vocab=structural_control:0.57;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.8333, ""medium_size_score"": 0.3333, ""detail_score"": 0.25, ""high_detail_score"": 0.2238, ""density_score"": 0.2238, ""slender_score"": 1.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.45, ""simple_score"": 0.7875, ""uncertainty_score"": 0.0}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
9,8,Mesh.384,8,Mesh_384.004,mesh,mesh_9,1,3,pins_rivets_keys,0.7850710153579712,2,washers_rings_spacers,0.024579359218478203,1561,1096,0.3482995927333832,,0.12000000476837158,0.32200002670288086,-1.5450000762939453,0.940000057220459,0.3620000183582306,-1.505000114440918,0.8200000524520874,0.03999999165534973,0.039999961853027344,0.8219489535865946,0.0013119985589982715,0.8200000524520874,0.03999999165534973,0.039999961853027344,20.500005587936613,0.04878043816389212,0.002362646881551463,flat_plate,0.5990768074989319,0.3418775498867035,-1.5249581336975098,joint_clamp_hinge,0.14290517568588257,joint clamp or hinge,structural_control,handle_lever_knob,0.15695062279701233,0.01404544711112976,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.15695062279701233}, {""rank"": 2, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.14290517568588257}, {""rank"": 3, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.13850843906402588}, {""rank"": 4, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.08270717412233353}, {""rank"": 5, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.08270717412233353}]",handle lever or knob,structural_control,1,S5_xlarge,D1_low,C2_high,0.760491656139493,fastener_repeated,geom_thin_plate,False,repeated_fastener,fastening_or_repeated_standard_part,0.6662,repeated_fastener,0.5495,structural_control,0.5887,ordinary_low_detail,0.9241,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",pointnext_prior=repeated_fastener:0.55;structural_match=ordinary_low_detail:0.92;pointclip_open_vocab=structural_control:0.59;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.8333, ""medium_size_score"": 0.3333, ""detail_score"": 0.25, ""high_detail_score"": 0.3025, ""density_score"": 0.3025, ""slender_score"": 1.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.45, ""simple_score"": 0.7875, ""uncertainty_score"": 0.0}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
10,9,Mesh.385,9,Mesh_385.004,mesh,mesh_10,1,10,rotating_fluid_machinery,0.2012908160686493,5,gears_pulleys_chains,0.10774321854114532,1410,1096,0.08526013791561127,,0.12000000476837158,0.6340000033378601,-1.8000000715255737,0.31800001859664917,0.6740000247955322,-1.7600001096725464,0.1980000138282776,0.04000002145767212,0.039999961853027344,0.20592232550371023,0.00031679988994581256,0.1980000138282776,0.04000002145767212,0.039999961853027344,4.949997690321254,0.20201999524969078,0.03628062163395926,long_slender,0.22812390327453613,0.6541072130203247,-1.7800263166427612,large_foundation_frame,0.14323467016220093,large foundation frame or static support,large_static_bulk,joint_clamp_hinge,0.15487360954284668,0.011638939380645752,"[{""rank"": 1, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.15487360954284668}, {""rank"": 2, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.14323467016220093}, {""rank"": 3, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.12251511961221695}, {""rank"": 4, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.09999392181634903}, {""rank"": 5, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.09247925877571106}]",joint clamp or hinge,structural_control,1,S3_medium,D1_low,C0_low_or_ambiguous,0.09354759752750397,semantic_uncertain,geom_slender_bar,False,ordinary_low_detail,ordinary_low_detail_part,0.6178,critical_preserve,0.0659,large_static_bulk,0.5753,ordinary_low_detail,0.8711,"[""coarse_silhouette""]",structural_match=ordinary_low_detail:0.87;pointclip_open_vocab=large_static_bulk:0.58;low_or_ambiguous_pointnext_confidence;slender_axis_shape,"{""micro_score"": 0.0, ""size_score"": 0.5, ""medium_size_score"": 1.0, ""detail_score"": 0.25, ""high_detail_score"": 0.6031, ""density_score"": 0.6031, ""slender_score"": 0.9, ""plate_score"": 0.0, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.0, ""simple_score"": 0.7875, ""uncertainty_score"": 0.6882}",P4_ordinary_low_detail,ordinary_low_detail_fast_simplify,0.55,0.28,0.1,True,0.8
11,10,Mesh.386,10,Mesh_386.004,mesh,mesh_11,1,3,pins_rivets_keys,0.7727270126342773,2,washers_rings_spacers,0.035754770040512085,1485,1096,0.5005414485931396,,0.019999980926513672,0.6740000247955322,-1.189622402191162,1.2000000476837158,0.7140000462532043,-1.1496223211288452,1.1800000667572021,0.04000002145767212,0.040000081062316895,1.1813552242016825,0.0018880049457573312,1.1800000667572021,0.040000081062316895,0.04000002145767212,29.499941885589116,0.03389832135145342,0.0011451479740695683,flat_plate,0.712119460105896,0.6937879920005798,-1.169672966003418,joint_clamp_hinge,0.1478976309299469,joint clamp or hinge,structural_control,pin_rivet_key,0.1599154770374298,0.01201784610748291,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.1599154770374298}, {""rank"": 2, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.1478976309299469}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.13466233015060425}, {""rank"": 4, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.07916390150785446}, {""rank"": 5, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.07916390150785446}]",pin rivet or key,repeated_fastener,1,S5_xlarge,D1_low,C2_high,0.7369722425937653,fastener_repeated,geom_thin_plate,False,repeated_fastener,fastening_or_repeated_standard_part,0.6777,repeated_fastener,0.5409,structural_control,0.5859,ordinary_low_detail,0.9241,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",pointnext_prior=repeated_fastener:0.54;structural_match=ordinary_low_detail:0.92;pointclip_open_vocab=structural_control:0.59;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.8333, ""medium_size_score"": 0.3333, ""detail_score"": 0.25, ""high_detail_score"": 0.2238, ""density_score"": 0.2238, ""slender_score"": 1.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.45, ""simple_score"": 0.7875, ""uncertainty_score"": 0.0}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
